coin,ext_atr_at_entry,rsi_at_entry,max_adverse_pct,duration_h,return_pct,layers
FIL,,,4.5,33,2.97,3
FIL,,,5.67,195,2.97,3
FIL,,,0.0,1,2.97,1
FIL,,,1.07,8,2.97,2
FIL,,,0.0,1,2.97,1
FIL,,,10.66,466,2.97,3
RUNE,,,1.34,24,2.97,2
RUNE,,,1.99,45,2.97,2
RUNE,,,3.75,159,2.97,3
RUNE,,,1.84,52,2.97,2
RUNE,,,1.22,17,2.97,1
RUNE,,,4.02,48,2.97,3
RUNE,,,1.36,40,2.97,2
RUNE,,,2.42,26,2.97,2
CRV,,,2.69,26,2.97,3
CRV,,,5.47,43,2.97,3
CRV,,,1.45,9,2.97,1
CRV,,,7.2,196,2.97,3
CRV,,,0.2,2,2.97,1
CRV,,,0.11,2,2.97,1
CRV,,,1.48,16,2.97,2
CRV,,,8.1,446,2.97,3
CRV,,,2.78,58,2.97,2
CRV,,,2.65,49,2.97,2
CRV,,,2.86,18,2.97,2
CRV,,,1.36,4,2.97,1
CRV,,,0.0,2,2.97,1
CRV,,,31.46,633,2.97,3
CRV,1.228,56.9,2.79,4,2.97,2
CRV,1.42,56.9,2.87,10,2.97,2
SNX,,,2.03,22,2.97,2
SNX,,,0.72,14,2.97,1
SNX,,,0.0,1,2.97,1
SNX,,,3.82,31,2.97,3
SNX,,,5.69,232,2.97,3
SNX,,,7.06,215,2.97,3
SNX,,,0.02,10,2.97,1
SNX,,,10.16,259,2.97,3
SNX,,,0.87,14,2.97,1
SNX,,,0.0,1,2.97,1
SNX,,,0.0,1,2.97,1
DYDX,,,2.99,27,2.97,2
DYDX,,,10.12,47,2.97,3
DYDX,,,12.25,181,2.97,3
DYDX,,,0.02,17,2.97,1
DYDX,,,1.59,3,2.97,2
DYDX,,,0.02,3,2.97,1
DYDX,,,0.0,4,2.97,1
DYDX,,,0.02,2,2.97,1
DYDX,,,3.46,23,2.97,3
DYDX,,,3.42,24,2.97,3
DYDX,,,0.0,1,2.97,1
DYDX,,,3.43,26,2.97,3
DYDX,,,0.0,1,2.97,1
DYDX,,,0.51,2,2.97,1
DYDX,,,0.16,2,2.97,1
DYDX,,,20.32,350,2.97,3
DYDX,1.934,56.9,0.71,2,2.97,1
DYDX,2.214,56.9,14.47,60,2.97,3
LDO,,,1.49,26,2.97,2
LDO,,,3.21,43,2.97,3
LDO,,,5.36,92,2.97,3
LDO,,,9.5,51,2.97,3
LDO,,,1.03,4,2.97,2
LDO,,,1.09,7,2.97,2
LDO,,,6.83,25,2.97,3
LDO,,,2.1,4,2.97,2
LDO,,,0.85,6,2.97,1
LDO,,,0.39,5,2.97,1
LDO,,,1.03,3,2.97,2
LDO,,,1.06,2,2.97,2
LDO,,,1.4,2,2.97,1
LDO,,,1.24,6,2.97,2
LDO,,,0.02,4,2.97,1
LDO,,,1.84,4,2.97,2
LDO,,,0.0,9,2.97,1
LDO,,,0.28,2,2.97,1
LDO,,,4.54,103,2.97,3
LDO,,,2.41,2,2.97,2
LDO,,,0.0,1,2.97,1
LDO,,,0.03,16,2.97,1
LDO,,,1.6,59,2.97,2
LDO,,,1.6,46,2.97,2
LDO,,,0.5,5,2.97,1
LDO,,,2.92,48,2.97,3
LDO,,,1.17,6,2.97,2
LDO,,,3.58,45,2.97,3
LDO,,,2.94,14,2.97,3
LDO,,,1.1,3,2.97,2
LDO,,,1.71,4,2.97,2
LDO,,,2.3,40,2.97,2
ARB,,,2.63,23,2.97,2
ARB,,,0.97,10,2.97,1
ARB,,,4.37,34,2.97,3
ARB,,,1.57,23,2.97,2
ARB,,,2.85,23,2.97,2
ARB,,,0.77,3,2.97,1
ARB,,,1.3,19,2.97,1
ARB,,,1.22,4,2.97,2
ARB,,,7.58,129,2.97,3
ARB,,,2.55,3,2.97,2
ARB,,,0.0,1,2.97,1
ARB,,,3.22,16,2.97,3
ARB,,,14.32,507,2.97,3
ARB,,,0.0,1,2.97,1
ARB,,,0.0,4,2.97,1
OP,,,2.66,26,2.97,3
OP,,,2.08,42,2.97,2
OP,,,8.8,186,2.97,3
OP,,,1.03,19,2.97,1
OP,,,1.46,2,2.97,1
OP,,,0.0,2,2.97,1
OP,,,1.92,19,2.97,2
OP,,,11.96,449,2.97,3
OP,,,1.98,11,2.97,2
STX,,,2.51,26,2.97,2
STX,,,0.39,6,2.97,1
STX,,,5.29,224,2.97,3
