coin,ext_atr_at_entry,rsi_at_entry,max_adverse_pct,duration_h,return_pct,layers
ETH,1.705,66.8,1.34,17,2.97,2
ETH,2.712,64.3,9.98,348,2.97,3
ETH,2.316,62.5,0.65,2,2.97,1
ETH,2.364,62.5,0.34,7,2.97,1
ETH,2.049,64.7,1.78,15,2.97,2
ETH,2.555,64.7,1.35,17,2.97,2
ETH,2.824,69.5,1.46,12,2.97,1
ETH,2.424,60.8,0.86,8,2.97,1
ETH,2.93,60.8,9.55,268,2.97,3
ETH,2.984,64.5,0.6,9,2.97,1
ETH,2.605,59.2,12.65,128,2.97,3
ETH,2.056,63.8,2.28,21,2.97,2
ETH,2.992,68.5,4.52,9,2.97,3
ETH,2.946,68.7,1.09,6,2.97,2
ETH,2.907,64.0,3.08,7,2.97,3
ETH,2.381,64.7,1.44,5,2.97,1
ETH,2.545,64.7,2.9,21,2.97,3
ETH,2.838,59.9,1.08,13,2.97,2
ETH,2.642,60.2,4.85,8,2.97,3
ETH,2.677,60.2,1.31,2,2.97,2
ETH,2.99,60.2,8.94,92,2.97,3
ETH,2.82,69.2,1.52,7,2.97,2
ETH,0.447,40.6,0.56,2,2.97,1
ETH,0.824,40.6,1.23,5,2.97,2
ETH,1.116,40.6,22.59,278,2.97,3
ETH,1.026,62.7,3.11,19,2.97,3
ETH,1.204,62.7,0.3,3,2.97,1
ETH,1.458,57.9,0.9,23,2.97,1
ETH,1.784,59.3,6.47,83,2.97,3
ETH,1.632,57.7,1.16,8,2.97,1
ETH,1.842,57.7,18.86,443,2.97,3
ETH,1.652,71.0,2.56,16,2.97,2
ETH,2.012,61.8,1.11,12,2.97,1
ETH,2.591,61.8,1.8,8,2.97,2
ETH,2.946,64.4,8.24,172,2.97,3
ETH,0.982,60.8,1.31,4,2.97,2
ETH,1.146,60.8,2.17,5,2.97,2
ETH,1.575,60.8,1.78,5,2.97,2
ETH,1.996,60.8,0.66,4,2.97,1
ETH,2.277,60.8,2.42,14,2.97,3
ETH,2.512,62.2,1.14,3,2.97,1
ETH,2.699,62.2,3.07,12,2.97,3
ETH,2.743,60.4,1.81,5,2.97,2
ETH,3.006,50.1,62.41,2615,2.97,3
