ext_atr_at_entry,rsi_at_entry,max_adverse_pct,duration_h,return_pct,layers
0,50.0,1.64,77,2.97,2
0,50.0,3.46,33,2.97,3
0,50.0,2.53,28,2.97,2
0,50.0,0.1,10,2.97,1
0,50.0,0.17,3,2.97,1
0,50.0,0.6,4,2.97,1
0,50.0,1.04,2,2.97,2
0,50.0,0.23,2,2.97,1
0,50.0,12.02,550,2.97,3
4.819,69.3,6.2,20,2.97,3
1.921,52.5,3.75,60,2.97,3
2.062,54.6,2.85,9,2.97,2
2.035,54.6,1.34,8,2.97,1
2.282,56.1,3.9,32,2.97,3
2.494,57.2,17.41,120,2.97,3
2.017,52.2,15.0,165,2.97,3
