timestamp,equity,dd_pct
1775347200000,9999.0,0.01
1775350800000,10004.3,0.0
1775354400000,10021.53,0.0
1775358000000,10021.53,0.0
1775361600000,10013.58,0.0793
1775365200000,10014.9,0.0661
1775368800000,9968.52,0.5289
1775372400000,9967.1,0.5431
1775376000000,9992.7,0.2876
1775379600000,10026.84,0.0
1775383200000,9984.17,0.4256
1775386800000,9992.7,0.3405
1775390400000,9960.69,0.6597
1775394000000,9913.75,1.1279
1775397600000,9945.76,0.8087
1775401200000,9956.43,0.7023
1775404800000,9928.69,0.9789
1775408400000,9950.03,0.7661
1775412000000,9967.1,0.5958
1775415600000,9969.23,0.5746
1775419200000,10007.64,0.1915
1775422800000,9992.7,0.3405
1775426400000,10148.46,0.0
1775430000000,10190.35,0.0
1775433600000,10189.35,0.0098
1775437200000,10175.09,0.1497
1775440800000,10221.76,0.0
1775444400000,10267.13,0.0
1775448000000,10309.32,0.0
1775451600000,10308.32,0.0097
1775455200000,10281.95,0.2655
1775458800000,10307.07,0.0219
1775462400000,10349.76,0.0
1775466000000,10392.45,0.0
1775469600000,10428.29,0.0
1775473200000,10427.29,0.0096
1775476800000,10423.57,0.0453
1775480400000,10450.86,0.0
1775484000000,10443.42,0.0712
1775487600000,10412.41,0.3679
1775491200000,10421.09,0.2848
1775494800000,10391.32,0.5697
1775498400000,10407.45,0.4154
1775502000000,10363.02,0.8405
1775505600000,10383.01,0.6492
1775509200000,10319.05,1.2613
1775512800000,10251.08,1.9116
1775516400000,10301.92,1.4251
1775520000000,10272.83,1.7035
1775523600000,10219.95,2.2095
1775527200000,10270.19,1.7288
1775530800000,10272.83,1.7035
1775534400000,10296.63,1.4757
1775538000000,10278.12,1.6529
1775541600000,10238.46,2.0324
1775545200000,10267.55,1.7541
1775548800000,10405.04,0.4384
1775552400000,10410.33,0.3878
1775556000000,10304.56,1.3998
1775559600000,10291.34,1.5263
1775563200000,10214.66,2.2601
1775566800000,10219.95,2.2095
1775570400000,10264.9,1.7794
1775574000000,10325.72,1.1974
1775577600000,10251.68,1.9059
1775581200000,10278.12,1.6529
1775584800000,10254.32,1.8806
1775588400000,10420.91,0.2866
1775592000000,10423.55,0.2613
1775595600000,10678.13,0.0
1775599200000,10677.13,0.0094
1775602800000,10680.71,0.0
1775606400000,10683.1,0.0
1775610000000,10720.09,0.0
1775613600000,10728.44,0.0
1775617200000,10710.54,0.1669
1775620800000,10699.8,0.267
1775624400000,10736.8,0.0
1775628000000,10752.31,0.0
1775631600000,10797.1,0.0
1775635200000,10796.1,0.0093
1775638800000,10743.41,0.4973
1775642400000,10716.01,0.751
1775646000000,10736.33,0.5628
1775649600000,10793.59,0.0325
1775653200000,10741.87,0.5115
1775656800000,10584.22,1.9716
1775660400000,10633.14,1.5185
1775664000000,10611.13,1.7224
1775667600000,10608.68,1.7451
1775671200000,10488.82,2.8552
1775674800000,10488.82,2.8552
1775678400000,10442.43,3.2848
1775682000000,10369.05,3.9645
1775685600000,10292.74,4.6713
1775689200000,10339.7,4.2363
1775692800000,10248.71,5.0791
1775696400000,10257.51,4.9975
1775700000000,10266.32,4.916
1775703600000,10278.06,4.8072
1775707200000,10248.71,5.0791
1775710800000,10231.09,5.2422
1775714400000,10222.29,5.3237
1775718000000,10263.38,4.9431
1775721600000,10289.8,4.6985
1775725200000,10313.28,4.481
1775728800000,10336.76,4.2635
1775732400000,10266.32,4.916
1775736000000,10389.6,3.7742
1775739600000,10374.92,3.9101
1775743200000,10568.65,2.1158
1775746800000,10680.19,1.0828
1775750400000,10592.13,1.8983
1775754000000,10642.03,1.4362
1775757600000,10724.22,0.675
1775761200000,10697.8,0.9196
1775764800000,10712.48,0.7837
1775768400000,10636.16,1.4905
1775772000000,10553.98,2.2517
1775775600000,9752.64,9.6735
1775779200000,9159.72,15.165
1775782800000,9332.9,13.5611
1775786400000,9365.19,13.262
1775790000000,8904.35,17.5302
1775793600000,8560.92,20.7109
1775797200000,8722.36,19.2157
1775800800000,8563.85,20.6837
1775804400000,8513.95,21.1459
1775808000000,8516.89,21.1187
1775811600000,8675.4,19.6507
1775815200000,8643.11,19.9497
1775818800000,8537.44,20.9284
1775822400000,8475.8,21.4993
1775826000000,8508.08,21.2003
1775829600000,8748.78,18.971
1775833200000,8681.27,19.5963
1775836800000,8687.14,19.5419
1775840400000,8722.36,19.2157
1775844000000,8701.81,19.406
1775847600000,8593.21,20.4119
1775851200000,8519.83,21.0915
1775854800000,8549.18,20.8197
1775858400000,8337.84,22.7771
1775862000000,8361.32,22.5596
1775865600000,8329.03,22.8586
1775869200000,8331.97,22.8314
1775872800000,8513.95,21.1459
1775876400000,8505.15,21.2275
1775880000000,8560.92,20.7109
1775883600000,8475.8,21.4993
1775887200000,8487.54,21.3906
1775890800000,8449.38,21.744
1775894400000,8478.73,21.4721
1775898000000,8496.34,21.309
1775901600000,8546.24,20.8469
1775905200000,8631.37,20.0585
1775908800000,8575.6,20.575
1775912400000,8511.02,21.1731
1775916000000,8552.11,20.7925
1775919600000,8534.5,20.9556
1775923200000,8599.08,20.3575
1775926800000,8540.37,20.9012
1775930400000,8604.95,20.3031
1775934000000,8778.13,18.6992
1775937600000,8769.32,18.7807
1775941200000,8945.44,17.1496
1775944800000,8933.7,17.2583
1775948400000,8833.9,18.1827
1775952000000,8801.61,18.4817
1775955600000,8563.85,20.6837
1775959200000,8566.79,20.6566
1775962800000,8516.89,21.1187
1775966400000,8505.15,21.2275
