ext_atr_at_entry,rsi_at_entry,max_adverse_pct,duration_h,return_pct,layers
0,50.0,2.12,23,2.97,2
0,50.0,2.44,45,2.97,2
0,50.0,1.17,14,2.97,2
0,50.0,2.63,28,2.97,3
0,50.0,1.19,15,2.97,2
0,50.0,0.03,4,2.97,1
0,50.0,1.07,28,2.97,1
0,50.0,3.84,44,2.97,3
0,50.0,0.27,5,2.97,1
0,50.0,2.62,44,2.97,2
0,50.0,2.29,44,2.97,2
