timestamp,equity,dd_pct
1775347200000,9998.8,0.012
1775350800000,10005.16,0.0
1775354400000,10025.83,0.0
1775358000000,10025.83,0.0
1775361600000,10016.29,0.0952
1775365200000,10017.88,0.0793
1775368800000,9962.23,0.6344
1775372400000,9962.27,0.634
1775376000000,9994.29,0.3146
1775379600000,10036.98,0.0
1775383200000,9983.61,0.5317
1775386800000,9994.29,0.4254
1775390400000,9954.26,0.8241
1775394000000,9895.56,1.409
1775397600000,9935.59,1.0102
1775401200000,9948.93,0.8773
1775404800000,9914.24,1.2229
1775408400000,9940.92,0.9571
1775412000000,9962.27,0.7444
1775415600000,9964.94,0.7178
1775419200000,10012.97,0.2393
1775422800000,9994.29,0.4254
1775426400000,10189.08,0.0
1775430000000,10237.94,0.0
1775433600000,10236.74,0.0117
1775437200000,10219.63,0.1789
1775440800000,10275.63,0.0
1775444400000,10330.07,0.0
1775448000000,10380.7,0.0
1775451600000,10379.5,0.0116
1775455200000,10347.86,0.3164
1775458800000,10378.0,0.0261
1775462400000,10429.22,0.0
1775466000000,10480.45,0.0
1775469600000,10523.47,0.0
1775473200000,10522.27,0.0114
1775476800000,10517.8,0.0538
1775480400000,10550.55,0.0
1775484000000,10541.62,0.0846
1775487600000,10504.41,0.4373
1775491200000,10514.83,0.3386
1775494800000,10479.1,0.6772
1775498400000,10498.45,0.4938
1775502000000,10445.67,0.994
1775505600000,10470.67,0.7571
1775509200000,10390.67,1.5153
1775512800000,10305.68,2.3209
1775516400000,10364.53,1.7631
1775520000000,10329.94,2.091
1775523600000,10267.03,2.6872
1775527200000,10326.79,2.1208
1775530800000,10329.94,2.091
1775534400000,10358.24,1.8227
1775538000000,10336.23,2.0314
1775541600000,10289.05,2.4785
1775545200000,10323.64,2.1506
1775548800000,10487.19,0.6005
1775552400000,10493.48,0.5409
1775556000000,10367.68,1.7333
1775559600000,10351.95,1.8823
1775563200000,10260.74,2.7468
1775566800000,10267.03,2.6872
1775570400000,10320.5,2.1804
1775574000000,10392.84,1.4948
1775577600000,10304.77,2.3295
1775581200000,10336.23,2.0314
1775584800000,10307.92,2.2997
1775588400000,10506.06,0.4217
1775592000000,10509.21,0.3918
1775595600000,10820.89,0.0
1775599200000,10819.69,0.0111
1775602800000,10823.99,0.0
1775606400000,10826.85,0.0
1775610000000,10871.25,0.0
1775613600000,10881.27,0.0
1775617200000,10859.79,0.1974
1775620800000,10846.9,0.3159
1775624400000,10891.3,0.0
1775628000000,10909.91,0.0
1775631600000,10963.66,0.0
1775635200000,10962.46,0.0109
1775638800000,10899.22,0.5877
