deal_id,symbol,open_time,close_time,regime,layers,invested,pnl,return_pct,duration_h
2,SOL/USDC,2026-02-21T03:06:06+00:00,2026-02-21T11:43:23+00:00,DISTRIBUTION,1,400.0,3.56,0.89,8.62
1,ETH/USDC,2026-02-21T03:06:06+00:00,2026-02-21T14:44:55+00:00,DISTRIBUTION,1,400.0,3.56,0.89,11.65
4,SOL/USDC,2026-02-21T12:43:55+00:00,2026-02-21T14:44:55+00:00,DISTRIBUTION,1,400.0,4.5,1.12,2.02
3,BTC/USDC,2026-02-21T03:06:06+00:00,2026-02-21T18:57:59+00:00,ACCUMULATION,1,400.0,3.56,0.89,15.86
5,ETH/USDC,2026-02-21T15:45:50+00:00,2026-02-25T17:03:42+00:00,RANGING,3,2800.0,42.68,1.52,97.3
6,SOL/USDC,2026-02-21T15:45:50+00:00,2026-02-25T18:03:53+00:00,RANGING,4,6000.0,96.16,1.6,98.3
