deal_id,symbol,open_time,close_time,regime,layers,invested,pnl,return_pct,duration_h
2,SOL/USDC,2026-02-18T17:11:32+00:00,2026-02-20T07:02:45+00:00,MILD_TREND,2,1200.0,13.55,1.13,37.85
4,SOL/USDC,2026-02-20T07:02:50+00:00,2026-02-20T10:19:26+00:00,RANGING,1,400.0,3.56,0.89,3.28
1,HYPE/USDC,2026-02-17T19:18:19+00:00,2026-02-20T21:41:07+00:00,ACCUMULATION,3,2800.0,30.63,1.09,74.38
6,HYPE/USDC,2026-02-20T21:56:26+00:00,2026-02-20T22:56:55+00:00,ACCUMULATION,1,400.0,3.56,0.89,1.01
5,SOL/USDC,2026-02-20T10:19:32+00:00,2026-02-21T14:03:50+00:00,DISTRIBUTION,1,400.0,3.56,0.89,27.74
8,SOL/USDC,2026-02-21T14:19:01+00:00,2026-02-21T15:20:35+00:00,ACCUMULATION,1,400.0,3.56,0.89,1.03
