deal_id,symbol,open_time,close_time,regime,layers,invested,pnl,return_pct,duration_h,recorded_at
169,ZRO/USDT,2026-03-17T02:00:00+00:00,2026-03-17T11:00:00+00:00,LONG_DCA,1,2476.98,73.1629,2.95,9.0,2026-03-17T12:00:19.786235+00:00
166,SNX/USDT,2026-03-16T22:00:00+00:00,2026-03-17T11:00:00+00:00,LONG_DCA,2,3652.87,78.1385,2.14,13.0,2026-03-17T12:00:25.853739+00:00
238,HYPE/USDT,2026-03-17T07:00:00+00:00,2026-03-17T11:00:00+00:00,LONG_DCA,2,3754.1,55.5493,1.48,4.0,2026-03-20T01:01:52.349395+00:00
325,FET/USDT,2026-03-17T10:00:00+00:00,2026-03-17T11:00:00+00:00,LONG_DCA,1,2024.99,29.9637,1.48,1.0,2026-03-25T01:01:10.084248+00:00
326,FET/USDT,2026-03-17T12:00:00+00:00,2026-03-17T13:00:00+00:00,LONG_DCA,1,2033.85,30.0949,1.48,1.0,2026-03-25T01:01:10.100121+00:00
171,ZRO/USDT,2026-03-17T12:00:00+00:00,2026-03-17T15:00:00+00:00,LONG_DCA,1,2498.78,36.9744,1.48,3.0,2026-03-17T16:00:09.913231+00:00
172,ZRO/USDT,2026-03-17T16:00:00+00:00,2026-03-17T17:00:00+00:00,LONG_DCA,1,2509.72,37.1363,1.48,1.0,2026-03-17T18:00:07.413879+00:00
108,JUP/USDT,2026-03-10T12:00:00+00:00,2026-03-17T18:00:00+00:00,LONG_DCA,4,1825.65,27.0142,1.48,174.0,2026-03-17T19:00:37.601992+00:00
327,FET/USDT,2026-03-17T14:00:00+00:00,2026-03-17T18:00:00+00:00,LONG_DCA,2,3472.57,51.3836,1.48,4.0,2026-03-25T01:01:10.102131+00:00
168,TAO/USDT,2026-03-17T01:00:00+00:00,2026-03-17T19:00:00+00:00,LONG_DCA,2,4430.57,65.5592,1.48,18.0,2026-03-17T20:00:07.449143+00:00
239,HYPE/USDT,2026-03-17T12:00:00+00:00,2026-03-17T20:00:00+00:00,LONG_DCA,2,3782.04,55.9629,1.48,8.0,2026-03-20T01:01:52.349395+00:00
328,FET/USDT,2026-03-17T19:00:00+00:00,2026-03-17T20:00:00+00:00,LONG_DCA,1,2057.97,30.4517,1.48,1.0,2026-03-25T01:01:10.102131+00:00
173,ZRO/USDT,2026-03-17T18:00:00+00:00,2026-03-17T21:00:00+00:00,LONG_DCA,1,2520.71,37.299,1.48,3.0,2026-03-17T22:00:07.047131+00:00
167,NEAR/USDT,2026-03-16T23:00:00+00:00,2026-03-18T00:00:00+00:00,LONG_DCA,2,4167.93,61.6729,1.48,25.0,2026-03-18T01:00:42.734749+00:00
165,DOT/USDT,2026-03-16T21:00:00+00:00,2026-03-18T00:00:00+00:00,LONG_DCA,2,3352.52,49.6073,1.48,27.0,2026-03-18T01:00:43.629988+00:00
174,TAO/USDT,2026-03-17T20:00:00+00:00,2026-03-18T00:00:00+00:00,LONG_DCA,2,4463.55,66.0472,1.48,4.0,2026-03-18T01:00:48.055022+00:00
213,GRASS/USDT,2026-03-17T03:00:00+00:00,2026-03-18T00:00:00+00:00,LONG_DCA,6,8156.91,120.6978,1.48,21.0,2026-03-20T01:01:49.904535+00:00
281,EIGEN/USDT,2026-03-17T03:00:00+00:00,2026-03-18T00:00:00+00:00,LONG_DCA,4,4648.21,68.7795,1.48,21.0,2026-03-23T01:01:15.223280+00:00
329,FET/USDT,2026-03-17T21:00:00+00:00,2026-03-18T00:00:00+00:00,LONG_DCA,2,3513.74,51.9928,1.48,3.0,2026-03-25T01:01:10.436705+00:00
175,ZRO/USDT,2026-03-17T22:00:00+00:00,2026-03-18T01:00:00+00:00,LONG_DCA,2,4303.82,63.6837,1.48,3.0,2026-03-18T02:00:39.997872+00:00
176,PENDLE/USDT,2026-03-18T00:00:00+00:00,2026-03-18T01:00:00+00:00,LONG_DCA,1,2174.23,32.1721,1.48,1.0,2026-03-18T02:00:41.642677+00:00
240,HYPE/USDT,2026-03-17T21:00:00+00:00,2026-03-18T02:00:00+00:00,LONG_DCA,2,3810.2,56.3795,1.48,5.0,2026-03-20T01:01:52.479808+00:00
330,FET/USDT,2026-03-18T01:00:00+00:00,2026-03-18T02:00:00+00:00,LONG_DCA,1,2082.37,30.8128,1.48,1.0,2026-03-25T01:01:10.438713+00:00
178,DOT/USDT,2026-03-18T01:00:00+00:00,2026-03-18T03:00:00+00:00,LONG_DCA,1,2212.1,32.7325,1.48,2.0,2026-03-18T04:00:42.388284+00:00
214,GRASS/USDT,2026-03-18T01:00:00+00:00,2026-03-18T03:00:00+00:00,LONG_DCA,1,2809.44,41.5713,1.48,2.0,2026-03-20T01:01:49.904535+00:00
282,EIGEN/USDT,2026-03-18T01:00:00+00:00,2026-03-18T04:00:00+00:00,LONG_DCA,1,1855.58,27.4571,1.48,3.0,2026-03-23T01:01:15.225287+00:00
179,TAO/USDT,2026-03-18T01:00:00+00:00,2026-03-18T06:00:00+00:00,LONG_DCA,1,2645.26,39.1419,1.48,5.0,2026-03-18T07:00:15.767887+00:00
170,SNX/USDT,2026-03-17T12:00:00+00:00,2026-03-18T08:00:00+00:00,LONG_DCA,2,3692.34,54.6356,1.48,20.0,2026-03-18T09:00:15.956807+00:00
215,GRASS/USDT,2026-03-18T04:00:00+00:00,2026-03-18T08:00:00+00:00,LONG_DCA,2,4796.79,70.9782,1.48,4.0,2026-03-20T01:01:49.904535+00:00
216,GRASS/USDT,2026-03-18T09:00:00+00:00,2026-03-18T13:00:00+00:00,LONG_DCA,2,4832.5,71.5065,1.48,4.0,2026-03-20T01:01:49.908533+00:00
241,HYPE/USDT,2026-03-18T03:00:00+00:00,2026-03-18T13:00:00+00:00,LONG_DCA,3,4944.82,73.1685,1.48,10.0,2026-03-20T01:01:52.481069+00:00
242,HYPE/USDT,2026-03-18T14:00:00+00:00,2026-03-18T15:00:00+00:00,LONG_DCA,1,2279.71,33.7329,1.48,1.0,2026-03-20T01:01:52.483503+00:00
243,HYPE/USDT,2026-03-18T16:00:00+00:00,2026-03-18T17:00:00+00:00,LONG_DCA,1,2289.69,33.8806,1.48,1.0,2026-03-20T01:01:52.483503+00:00
177,NEAR/USDT,2026-03-18T01:00:00+00:00,2026-03-19T00:00:00+00:00,LONG_DCA,3,5409.08,80.0382,1.48,23.0,2026-03-19T01:00:43.667335+00:00
182,DOT/USDT,2026-03-18T04:00:00+00:00,2026-03-19T00:00:00+00:00,LONG_DCA,3,4865.4,71.9934,1.48,20.0,2026-03-19T01:00:44.639916+00:00
183,TAO/USDT,2026-03-18T07:00:00+00:00,2026-03-19T00:00:00+00:00,LONG_DCA,3,5818.1,86.0905,1.48,17.0,2026-03-19T01:00:50.329802+00:00
217,GRASS/USDT,2026-03-18T14:00:00+00:00,2026-03-19T00:00:00+00:00,LONG_DCA,6,8422.14,124.6224,1.48,10.0,2026-03-20T01:01:50.034513+00:00
244,HYPE/USDT,2026-03-18T18:00:00+00:00,2026-03-19T00:00:00+00:00,LONG_DCA,1,2299.72,34.029,1.48,6.0,2026-03-20T01:01:52.603840+00:00
283,EIGEN/USDT,2026-03-18T05:00:00+00:00,2026-03-19T00:00:00+00:00,LONG_DCA,4,4720.34,69.8469,1.48,19.0,2026-03-23T01:01:15.402217+00:00
331,FET/USDT,2026-03-18T03:00:00+00:00,2026-03-19T00:00:00+00:00,LONG_DCA,4,5297.25,78.3834,1.48,21.0,2026-03-25T01:01:10.636079+00:00
218,GRASS/USDT,2026-03-19T01:00:00+00:00,2026-03-19T03:00:00+00:00,LONG_DCA,1,2900.79,42.923,1.48,2.0,2026-03-20T01:01:50.034513+00:00
245,HYPE/USDT,2026-03-19T01:00:00+00:00,2026-03-19T03:00:00+00:00,LONG_DCA,1,2309.79,34.178,1.48,2.0,2026-03-20T01:01:52.603840+00:00
284,EIGEN/USDT,2026-03-19T01:00:00+00:00,2026-03-19T03:00:00+00:00,LONG_DCA,1,1884.38,27.8832,1.48,2.0,2026-03-23T01:01:15.402217+00:00
332,FET/USDT,2026-03-19T01:00:00+00:00,2026-03-19T03:00:00+00:00,LONG_DCA,1,2114.68,31.291,1.48,2.0,2026-03-25T01:01:10.636079+00:00
219,GRASS/USDT,2026-03-19T04:00:00+00:00,2026-03-19T05:00:00+00:00,LONG_DCA,1,2913.5,43.111,1.48,1.0,2026-03-20T01:01:50.034513+00:00
246,HYPE/USDT,2026-03-19T04:00:00+00:00,2026-03-19T06:00:00+00:00,LONG_DCA,1,2319.91,34.3276,1.48,2.0,2026-03-20T01:01:52.603840+00:00
220,GRASS/USDT,2026-03-19T06:00:00+00:00,2026-03-19T07:00:00+00:00,LONG_DCA,1,2926.25,43.2998,1.48,1.0,2026-03-20T01:01:50.034513+00:00
221,GRASS/USDT,2026-03-19T08:00:00+00:00,2026-03-19T09:00:00+00:00,LONG_DCA,1,2939.07,43.4894,1.48,1.0,2026-03-20T01:01:50.034513+00:00
222,GRASS/USDT,2026-03-19T10:00:00+00:00,2026-03-19T18:00:00+00:00,LONG_DCA,4,7476.58,110.6309,1.48,8.0,2026-03-20T01:01:50.042772+00:00
247,HYPE/USDT,2026-03-19T07:00:00+00:00,2026-03-19T19:00:00+00:00,LONG_DCA,2,3960.97,58.6105,1.48,12.0,2026-03-20T01:01:52.608798+00:00
186,TAO/USDT,2026-03-19T01:00:00+00:00,2026-03-19T21:00:00+00:00,LONG_DCA,4,6793.69,100.5263,1.48,20.0,2026-03-19T22:00:10.495593+00:00
187,TAO/USDT,2026-03-19T22:00:00+00:00,2026-03-19T23:00:00+00:00,LONG_DCA,1,2712.07,40.1305,1.48,1.0,2026-03-20T00:00:12.511023+00:00
184,NEAR/USDT,2026-03-19T01:00:00+00:00,2026-03-20T00:00:00+00:00,LONG_DCA,3,5460.95,80.8057,1.48,23.0,2026-03-20T01:00:41.845184+00:00
185,DOT/USDT,2026-03-19T01:00:00+00:00,2026-03-20T00:00:00+00:00,LONG_DCA,2,4094.83,60.5912,1.48,23.0,2026-03-20T01:00:43.089023+00:00
188,SNX/USDT,2026-03-20T00:00:00+00:00,2026-03-20T00:00:00+00:00,LONG_DCA,1,2183.1,32.3033,1.48,0.0,2026-03-20T01:00:50.072692+00:00
223,GRASS/USDT,2026-03-19T19:00:00+00:00,2026-03-20T00:00:00+00:00,LONG_DCA,2,5073.78,75.0767,1.48,5.0,2026-03-20T01:01:50.177101+00:00
248,HYPE/USDT,2026-03-19T20:00:00+00:00,2026-03-20T00:00:00+00:00,LONG_DCA,1,2347.41,34.7346,1.48,4.0,2026-03-20T01:01:52.728227+00:00
285,EIGEN/USDT,2026-03-19T04:00:00+00:00,2026-03-20T00:00:00+00:00,LONG_DCA,3,4144.59,61.3275,1.48,20.0,2026-03-23T01:01:15.570746+00:00
333,FET/USDT,2026-03-19T04:00:00+00:00,2026-03-20T00:00:00+00:00,LONG_DCA,5,5889.24,87.1431,1.48,20.0,2026-03-25T01:01:10.869727+00:00
334,FET/USDT,2026-03-20T01:00:00+00:00,2026-03-20T03:00:00+00:00,LONG_DCA,1,2149.73,31.8096,1.48,2.0,2026-03-25T01:01:10.869727+00:00
250,GRASS/USDT,2026-03-20T01:00:00+00:00,2026-03-20T04:00:00+00:00,LONG_DCA,2,5111.55,75.6356,1.48,3.0,2026-03-20T05:00:42.266976+00:00
286,EIGEN/USDT,2026-03-20T01:00:00+00:00,2026-03-20T05:00:00+00:00,LONG_DCA,1,1910.78,28.2738,1.48,4.0,2026-03-23T01:01:15.570746+00:00
335,FET/USDT,2026-03-20T04:00:00+00:00,2026-03-20T05:00:00+00:00,LONG_DCA,1,2159.15,31.9489,1.48,1.0,2026-03-25T01:01:10.869727+00:00
252,GRASS/USDT,2026-03-20T05:00:00+00:00,2026-03-20T06:00:00+00:00,LONG_DCA,1,3029.28,44.8243,1.48,1.0,2026-03-20T07:00:43.896536+00:00
251,HYPE/USDT,2026-03-20T01:00:00+00:00,2026-03-20T07:00:00+00:00,LONG_DCA,1,2357.69,34.8867,1.48,6.0,2026-03-20T08:00:12.412964+00:00
249,SNX/USDT,2026-03-20T01:00:00+00:00,2026-03-20T08:00:00+00:00,LONG_DCA,1,2192.66,32.4448,1.48,7.0,2026-03-20T09:00:38.127035+00:00
253,GRASS/USDT,2026-03-20T07:00:00+00:00,2026-03-20T08:00:00+00:00,LONG_DCA,1,3042.55,45.0206,1.48,1.0,2026-03-20T09:00:39.523788+00:00
287,EIGEN/USDT,2026-03-20T06:00:00+00:00,2026-03-20T09:00:00+00:00,LONG_DCA,1,1919.15,28.3977,1.48,3.0,2026-03-23T01:01:15.570746+00:00
256,GRASS/USDT,2026-03-20T09:00:00+00:00,2026-03-20T13:00:00+00:00,LONG_DCA,1,3055.87,45.2177,1.48,4.0,2026-03-20T14:00:05.926018+00:00
255,SNX/USDT,2026-03-20T09:00:00+00:00,2026-03-21T00:00:00+00:00,LONG_DCA,2,3743.71,55.3957,1.48,15.0,2026-03-21T01:00:30.790595+00:00
288,EIGEN/USDT,2026-03-20T10:00:00+00:00,2026-03-21T00:00:00+00:00,LONG_DCA,3,4221.07,62.4591,1.48,14.0,2026-03-23T01:01:15.752381+00:00
336,FET/USDT,2026-03-20T06:00:00+00:00,2026-03-21T00:00:00+00:00,LONG_DCA,4,5492.56,81.2735,1.48,18.0,2026-03-25T01:01:11.187790+00:00
337,FET/USDT,2026-03-21T01:00:00+00:00,2026-03-21T03:00:00+00:00,LONG_DCA,1,2192.65,32.4447,1.48,2.0,2026-03-25T01:01:11.189803+00:00
257,GRASS/USDT,2026-03-20T14:00:00+00:00,2026-03-21T04:00:00+00:00,LONG_DCA,2,5217.55,77.204,1.48,14.0,2026-03-21T05:00:20.052605+00:00
289,EIGEN/USDT,2026-03-21T01:00:00+00:00,2026-03-21T05:00:00+00:00,LONG_DCA,1,1946.04,28.7955,1.48,4.0,2026-03-23T01:01:15.753663+00:00
338,FET/USDT,2026-03-21T04:00:00+00:00,2026-03-21T05:00:00+00:00,LONG_DCA,1,2202.26,32.5868,1.48,1.0,2026-03-25T01:01:11.189803+00:00
259,GRASS/USDT,2026-03-21T05:00:00+00:00,2026-03-21T07:00:00+00:00,LONG_DCA,1,3092.1,45.7538,1.48,2.0,2026-03-21T08:00:50.266539+00:00
339,FET/USDT,2026-03-21T06:00:00+00:00,2026-03-21T07:00:00+00:00,LONG_DCA,1,2211.9,32.7295,1.48,1.0,2026-03-25T01:01:11.191311+00:00
254,HYPE/USDT,2026-03-20T08:00:00+00:00,2026-03-21T12:00:00+00:00,LONG_DCA,2,4025.48,59.565,1.48,28.0,2026-03-21T13:00:21.372413+00:00
258,TAO/USDT,2026-03-21T00:00:00+00:00,2026-03-21T14:00:00+00:00,LONG_DCA,3,7769.96,114.9721,1.48,14.0,2026-03-21T15:00:15.867221+00:00
290,EIGEN/USDT,2026-03-21T06:00:00+00:00,2026-03-21T15:00:00+00:00,LONG_DCA,2,3322.63,49.165,1.48,9.0,2026-03-23T01:01:15.753663+00:00
340,FET/USDT,2026-03-21T08:00:00+00:00,2026-03-21T16:00:00+00:00,LONG_DCA,3,4864.95,71.9867,1.48,8.0,2026-03-25T01:01:11.191311+00:00
291,EIGEN/USDT,2026-03-21T16:00:00+00:00,2026-03-22T00:00:00+00:00,LONG_DCA,2,3347.37,49.531,1.48,8.0,2026-03-23T01:01:15.894234+00:00
341,FET/USDT,2026-03-21T17:00:00+00:00,2026-03-22T00:00:00+00:00,LONG_DCA,2,3812.78,56.4177,1.48,7.0,2026-03-25T01:01:11.406691+00:00
262,TAO/USDT,2026-03-21T15:00:00+00:00,2026-03-22T02:00:00+00:00,LONG_DCA,2,6089.5,90.1063,1.48,11.0,2026-03-22T03:00:07.625494+00:00
292,EIGEN/USDT,2026-03-22T01:00:00+00:00,2026-03-22T02:00:00+00:00,LONG_DCA,1,1983.77,29.3538,1.48,1.0,2026-03-23T01:01:15.894234+00:00
263,TAO/USDT,2026-03-22T03:00:00+00:00,2026-03-22T05:00:00+00:00,LONG_DCA,1,3608.85,53.4002,1.48,2.0,2026-03-22T06:00:49.559060+00:00
260,GRASS/USDT,2026-03-21T08:00:00+00:00,2026-03-22T07:00:00+00:00,LONG_DCA,3,6800.91,100.633,1.48,23.0,2026-03-22T08:00:54.422003+00:00
342,FET/USDT,2026-03-22T01:00:00+00:00,2026-03-22T07:00:00+00:00,LONG_DCA,1,2259.59,33.4351,1.48,6.0,2026-03-25T01:01:11.408354+00:00
264,TAO/USDT,2026-03-22T06:00:00+00:00,2026-03-23T00:00:00+00:00,LONG_DCA,4,9180.41,135.8425,1.48,18.0,2026-03-23T01:00:18.725652+00:00
265,GRASS/USDT,2026-03-22T08:00:00+00:00,2026-03-23T00:00:00+00:00,LONG_DCA,5,8693.86,128.643,1.48,16.0,2026-03-23T01:00:22.533841+00:00
293,EIGEN/USDT,2026-03-22T03:00:00+00:00,2026-03-23T00:00:00+00:00,LONG_DCA,3,4363.19,64.5621,1.48,21.0,2026-03-23T01:01:16.043888+00:00
