deal_id,symbol,open_time,close_time,regime,layers,invested,pnl,return_pct,duration_h
1,ETH/USDC,2026-02-27T19:03:44.923926+00:00,2026-02-27T19:03:44.923926+00:00,DCA,1,180.0,4.6215,2.57,0.0
2,ETH/USDC,2026-02-27T19:03:44.923926+00:00,2026-02-27T19:03:44.923926+00:00,MARKUP,3,1783.29,569.6068,31.94,0.0
3,ETH/USDC,2026-02-27T19:03:44.923926+00:00,2026-02-27T19:03:44.923926+00:00,MARKDOWN,3,2166.1,198.9491,9.18,0.0
4,ETH/USDC,2026-02-27T19:03:46.055732+00:00,2026-02-27T19:03:46.055732+00:00,DCA,4,1539.21,61.2595,3.98,0.0
5,ETH/USDC,2026-02-27T19:03:46.055732+00:00,2026-02-27T19:03:46.055732+00:00,MARKUP,2,2245.68,-55.101,-2.45,0.0
6,ETH/USDC,2026-02-27T19:03:46.055732+00:00,2026-02-27T19:03:46.055732+00:00,MARKDOWN,3,2304.75,929.8748,40.35,0.0
7,SOL/USDC,2026-02-27T19:03:48.081795+00:00,2026-02-27T19:03:48.081795+00:00,DCA,1,180.0,4.0715,2.26,0.0
8,SOL/USDC,2026-02-27T19:03:48.081795+00:00,2026-02-27T19:03:48.081795+00:00,DCA,2,431.26,13.134,3.05,0.0
9,SOL/USDC,2026-02-27T19:03:48.081795+00:00,2026-02-27T19:03:48.081795+00:00,DCA,1,181.24,13.8529,7.64,0.0
10,SOL/USDC,2026-02-27T19:03:48.081795+00:00,2026-02-27T19:03:48.081795+00:00,DCA,2,435.91,7.6957,1.77,0.0
11,SOL/USDC,2026-02-27T19:03:48.081795+00:00,2026-02-27T19:03:48.081795+00:00,DCA,1,182.79,8.7054,4.76,0.0
12,SOL/USDC,2026-02-27T19:03:48.081795+00:00,2026-02-27T19:03:48.081795+00:00,DCA,1,183.42,5.1657,2.82,0.0
13,SOL/USDC,2026-02-27T19:03:48.081795+00:00,2026-02-27T19:03:48.081795+00:00,DCA,2,439.62,17.6177,4.01,0.0
14,SOL/USDC,2026-02-27T19:03:48.081795+00:00,2026-02-27T19:03:48.081795+00:00,DCA,3,787.33,86.9722,11.05,0.0
15,SOL/USDC,2026-02-27T19:03:48.081795+00:00,2026-02-27T19:03:48.081795+00:00,DCA,1,191.32,3.4103,1.78,0.0
16,SOL/USDC,2026-02-27T19:03:48.081795+00:00,2026-02-27T19:03:48.081795+00:00,DCA,1,191.57,9.756,5.09,0.0
17,SOL/USDC,2026-02-27T19:03:48.081795+00:00,2026-02-27T19:03:48.081795+00:00,DCA,2,459.9,45.9419,9.99,0.0
18,SOL/USDC,2026-02-27T19:03:48.081795+00:00,2026-02-27T19:03:48.081795+00:00,DCA,1,195.58,13.5228,6.91,0.0
19,SOL/USDC,2026-02-27T19:03:48.081795+00:00,2026-02-27T19:03:48.081795+00:00,DCA,3,836.22,15.5431,1.86,0.0
20,SOL/USDC,2026-02-27T19:03:48.081795+00:00,2026-02-27T19:03:48.081795+00:00,DCA,1,197.67,4.7755,2.42,0.0
21,SOL/USDC,2026-02-27T19:03:48.081795+00:00,2026-02-27T19:03:48.081795+00:00,DCA,2,473.64,10.891,2.3,0.0
22,SOL/USDC,2026-02-27T19:03:48.081795+00:00,2026-02-27T19:03:48.081795+00:00,DCA,7,2476.88,25.1106,1.01,0.0
23,SOL/USDC,2026-02-27T19:03:48.081795+00:00,2026-02-27T19:03:48.081795+00:00,MARKUP,1,282.97,-410.5286,-145.08,0.0
24,SOL/USDC,2026-02-27T19:03:48.081795+00:00,2026-02-27T19:03:48.081795+00:00,DCA,2,402.63,52.041,12.93,0.0
