deal_id,symbol,open_time,close_time,regime,layers,invested,pnl,return_pct,duration_h
2,ASTER/USDT,2026-02-22T14:16:57+00:00,2026-02-23T01:52:16+00:00,TRENDING,2,38.98,0.04,0.11,11.59
3,ASTER/USDT,2026-02-23T02:07:27+00:00,2026-02-23T04:08:13+00:00,MILD_TREND,1,12.38,0.19,1.54,2.01
4,ASTER/USDT,2026-02-23T04:23:21+00:00,2026-02-23T05:38:54+00:00,ACCUMULATION,1,12.38,0.12,0.97,1.26
5,ASTER/USDT,2026-02-23T05:54:03+00:00,2026-02-23T06:39:23+00:00,ACCUMULATION,1,12.39,0.12,0.98,0.76
1,ASTER/USDT,2026-02-23T22:14:22+00:00,2026-02-25T02:03:52+00:00,DISTRIBUTION,1,11.42,0.23,2.0,27.82
